[2025-02-13_19-12-25-044] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-12-25-044.wav | Frequencies: [np.float64(139.1617845876521), np.float64(16.58404686795854), np.float64(37.85488958990537), np.float64(69.22036953582696), np.float64(174.4930148715638), np.float64(96.98062190175756), np.float64(255.2501126633619), np.float64(209.46372239747635), np.float64(666.2460567823344), np.float64(115.36728255971158)] | Type: Normal Sound Range
[2025-02-13_19-12-30-775] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-12-30-775.wav | Frequencies: [np.float64(139.5223073456512), np.float64(724.2902208201893), np.float64(6.489409643983777), np.float64(705.1825146462371), np.float64(771.5187021180712), np.float64(641.7305092383957), np.float64(663.3618747183416), np.float64(27.7602523659306), np.float64(809.3735917079766), np.float64(746.2821090581343)] | Type: Normal Sound Range
[2025-02-13_19-12-36-521] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-12-36-521.wav | Frequencies: [np.float64(139.5223073456512), np.float64(16.58404686795854), np.float64(72.10455159981974), np.float64(177.73771969355568), np.float64(108.8778729157278), np.float64(49.391617845876524), np.float64(206.21901757548446), np.float64(158.63001351960344), np.float64(237.58449752140606), np.float64(264.98422712933757)] | Type: Normal Sound Range
[2025-02-13_19-12-42-198] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-12-42-198.wav | Frequencies: [np.float64(139.1617845876521), np.float64(6.489409643983777), np.float64(27.3997296079315), np.float64(103.83055430374043), np.float64(170.8877872915728), np.float64(69.94141505182515), np.float64(47.94952681388013), np.float64(249.4817485353763), np.float64(214.87156376746285), np.float64(657.2329878323569)] | Type: Normal Sound Range
[2025-02-13_19-12-47-956] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-12-47-956.wav | Frequencies: [np.float64(139.5223073456512), np.float64(20.54979720594863), np.float64(54.07841369986481), np.float64(252.3659305993691), np.float64(94.81748535376296), np.float64(1.4420910319963949), np.float64(179.17981072555207), np.float64(76.79134745380803), np.float64(121.49616944569627), np.float64(271.11311401532225)] | Type: Normal Sound Range
[2025-02-13_19-12-53-717] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-12-53-717.wav | Frequencies: [np.float64(12.978819287967553), np.float64(139.5223073456512), np.float64(52.99684542586751), np.float64(34.97070752591257), np.float64(77.51239296980623), np.float64(110.3199639477242), np.float64(170.52726453357369), np.float64(205.85849481748537), np.float64(249.8422712933754), np.float64(275.7999098693105)] | Type: Normal Sound Range
[2025-02-13_19-12-59-459] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-12-59-459.wav | Frequencies: [np.float64(21.991888237945023), np.float64(139.1617845876521), np.float64(726.813880126183), np.float64(791.3474538080217), np.float64(1.4420910319963949), np.float64(42.18116268589455), np.float64(708.4272194682289), np.float64(770.7976566020731), np.float64(97.70166741775576), np.float64(679.9459215863002)] | Type: Normal Sound Range
[2025-02-13_19-13-05-228] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-13-05-228.wav | Frequencies: [np.float64(20.910319963947725), np.float64(719.9639477242001), np.float64(140.6038756196485), np.float64(778.7291572780532), np.float64(797.8368634520054), np.float64(697.611536728256), np.float64(740.5137449301487), np.float64(649.6620099143759), np.float64(823.0734565119424), np.float64(668.7697160883281)] | Type: Normal Sound Range
[2025-02-13_19-13-10-923] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-13-10-923.wav | Frequencies: [np.float64(15.502478593961245), np.float64(140.2433528616494), np.float64(38.93645786390266), np.float64(110.3199639477242), np.float64(63.452005407841376), np.float64(271.11311401532225), np.float64(81.83866606579541), np.float64(168.00360522758), np.float64(209.82424515547547), np.float64(239.38711131140155)] | Type: Normal Sound Range
[2025-02-13_19-13-16-755] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-13-16-755.wav | Frequencies: [np.float64(140.6038756196485), np.float64(14.06038756196485), np.float64(37.85488958990537), np.float64(172.6904010815683), np.float64(71.02298332582245), np.float64(100.94637223974765), np.float64(670.9328526363228), np.float64(253.0869761153673), np.float64(200.4506534474989), np.float64(222.0820189274448)] | Type: Normal Sound Range
